Position X,Position Y,Position Z,ID,Volume
68.8407,72.3761,9.84196,0,0.253145
74.149,71.956,10.4237,1,0.644867
71.4545,71.8338,10.8667,2,0.375931
63.7594,72.6297,7.41817,3,0.571099
69.9101,72.4424,7.80264,4,0.259722
72.4697,72.4554,9.12331,5,0.398901
48.0534,72.2822,6.22536,6,0.437049
61.0686,72.2475,6.12207,7,0.439468
61.8681,72.7078,6.39718,8,0.185347
19.2067,72.3229,7.58996,9,0.391268
45.9853,72.4545,6.49158,10,0.374911
45.7658,72.4197,7.45621,11,0.477954
18.4764,73.1896,6.21233,12,0.306313
16.5602,73.3772,6.26004,13,0.559855
98.8621,70.7075,8.7723,14,0.294427
97.7079,70.857,8.59946,15,0.296265
100.87,71.263,8.53612,16,0.332961
101.792,70.4158,7.78989,17,0.252453
103.031,62.5902,8.19312,18,0.356203
99.5501,68.0601,8.0132,19,0.520031
95.5268,66.72,7.31358,20,0.504172
96.6547,70.3511,6.6597,21,0.342412
101.119,70.6052,6.4688,22,0.291405
98.5563,70.722,7.02752,23,0.472364
78.8757,68.3626,10.5127,24,0.254811
83.3246,71.5131,12.0441,25,0.298303
95.0958,67.9649,6.54054,26,0.585607
84.8548,69.719,9.60295,27,0.827232
91.912,70.807,9.60505,28,0.735698
80.4066,71.6926,9.66553,29,0.558478
91.2855,67.3316,8.2045,30,0.58253
92.708,68.7841,8.59331,31,0.204894
88.0921,70.3665,8.32537,32,0.371429
86.8723,69.8495,7.05225,33,0.439267
91.5496,70.5976,6.91526,34,0.415218
81.2675,71.0612,7.23106,35,0.380481
92.5241,69.5181,6.304,36,0.485397
86.4148,65.6539,7.05359,37,0.49711
85.1659,69.116,6.92001,38,0.375251
67.478,69.8792,8.086,39,0.335025
73.2184,68.7523,8.5307,40,0.18433
78.8718,68.5645,6.1908,41,0.440618
63.1673,70.6146,7.72564,42,0.359315
76.4075,71.0555,7.6383,43,0.161563
75.0352,71.3053,7.69947,44,0.28537
68.8807,71.2593,6.63056,45,0.283733
67.6867,64.9811,6.91805,46,0.231655
67.698,68.4194,7.05955,47,0.239461
56.9374,71.7453,9.07302,48,0.324474
55.6568,68.703,9.60879,49,0.277621
67.1516,66.8925,6.08755,50,0.130781
55.2517,71.1677,8.44421,51,0.201541
53.1903,69.6083,8.96621,52,0.315837
57.9285,71.1664,9.07182,53,0.329205
62.8587,65.4943,7.97211,54,0.23302
52.4697,65.7744,7.64709,55,0.390794
53.0055,70.9938,8.29859,56,0.261161
61.6798,70.1577,7.01933,57,0.572574
58.9151,69.2847,7.25631,58,0.433753
51.4357,69.9937,7.29494,59,0.36536
51.4706,64.5739,7.15643,60,0.185049
54.1763,69.6874,7.09749,61,0.266081
57.0545,69.9021,7.05225,62,0.675928
48.6692,71.5075,6.15835,63,0.398922
60.8542,71.4677,6.10211,64,0.304857
57.8409,64.2439,7.00755,65,0.23132
39.0348,71.0426,8.17918,66,0.475548
35.3137,70.6007,9.12749,67,0.242129
47.836,69.884,6.42812,68,0.39125
39.0887,68.3816,7.63911,69,0.648983
33.8121,65.5658,7.81227,70,0.191092
33.3481,70.1865,7.77717,71,0.377322
43.1287,66.1063,6.86974,72,0.541722
40.5097,69.9022,7.01155,73,0.352041
46.9379,65.4556,7.23702,74,0.322173
34.7054,71.3179,6.82824,75,0.866616
