Position X,Position Y,Position Z,ID,Volume
83.2896,71.4262,12.2491,0,0.734839
101.03,71.3965,8.50947,1,0.361782
80.5453,71.7975,9.53527,2,0.531576
74.3781,72.2204,9.86835,3,0.624623
74.3637,71.6845,10.6843,4,0.785584
71.5347,71.8527,11.0529,5,0.377197
69.9795,72.4948,7.58981,6,0.395319
72.5962,72.5566,8.85109,7,0.342289
68.8471,72.3631,9.70151,8,0.712931
57.1337,71.9002,9.06957,9,0.605288
63.8277,72.7917,7.25082,10,0.506321
75.1264,71.4038,7.60638,11,0.216768
60.7353,71.3813,6.05121,12,0.551597
48.8894,71.566,6.19172,13,0.418878
62.1046,72.7264,6.25,14,0.648632
45.9632,72.5225,6.36675,15,0.338308
34.8008,71.4031,6.73727,16,1.03054
45.6791,72.4954,7.44648,17,0.453428
16.439,73.3683,6.19759,18,0.461026
28.2753,71.8703,6.99957,19,0.549364
19.3011,72.3283,7.84453,20,0.685355
99.668,68.141,8.16673,22,0.420651
97.7124,70.829,8.68797,23,0.368604
103.38,67.6082,7.44424,24,0.798631
101.896,70.5102,7.63136,25,0.427276
103.248,62.7918,8.17479,26,0.638101
98.6688,70.8279,6.81335,27,0.560067
103.407,71.0802,6.83765,28,0.6864
95.5462,66.6143,7.50689,29,0.873446
94.9924,67.9925,6.4206,30,0.472873
101.178,70.6799,6.42989,31,0.263964
96.7373,70.4388,6.58303,32,0.470325
85.166,69.5955,9.71557,33,0.622259
91.988,70.9535,9.65251,34,0.758604
78.7563,68.3532,10.436,35,0.571071
88.1116,70.4852,8.29542,36,0.487324
91.3865,67.3159,8.36741,37,0.711333
92.9137,68.896,8.61871,38,0.730188
86.3092,65.7296,6.95187,39,0.622104
86.8447,69.9189,6.99227,40,0.39521
81.3718,71.1256,7.18779,41,0.574633
92.8602,69.4149,6.12763,42,0.518866
85.4105,69.1762,6.70297,43,0.278099
91.6677,70.7117,6.84974,44,0.487301
76.5711,71.155,7.64294,45,0.44319
