Marker,X,Y,Z,ID,PartnerID,Volume,Partner.Volume,Pair.Volume,PairID,Pair.Distance
glur,68.8471,72.3631,9.70151,8,0,0.712931,0.253145,0.966076,08,0.141195476
glur,74.3637,71.6845,10.6843,4,1,0.785584,0.644867,1.430451,14,0.433267469
glur,71.5347,71.8527,11.0529,5,2,0.377197,0.375931,0.753128,25,0.203616527
glur,63.8277,72.7917,7.25082,10,3,0.506321,0.571099,1.07742,310,0.242723943
glur,69.9795,72.4948,7.58981,6,4,0.395319,0.259722,0.655041,46,0.229910263
glur,72.5962,72.5566,8.85109,7,5,0.342289,0.398901,0.74119,57,0.316776606
glur,48.2139,72.4073,6.02979,85,6,0.406565,0.437049,0.843614,685,0.282237285
glur,61.0738,72.26,5.93777,84,7,0.453454,0.439468,0.892922,784,0.184796591
glur,62.1046,72.7264,6.25,14,8,0.648632,0.185347,0.833979,814,0.279177654
glur,19.3011,72.3283,7.84453,20,9,0.685355,0.391268,1.076623,920,0.271562893
glur,45.9632,72.5225,6.36675,15,10,0.338308,0.374911,0.713219,1015,0.143857356
glur,45.6791,72.4954,7.44648,17,11,0.453428,0.477954,0.931382,1117,0.115507804
glur,18.6009,73.283,6.02263,87,12,0.484309,0.306313,0.790622,1287,0.245377057
glur,16.439,73.3683,6.19759,18,13,0.461026,0.559855,1.020881,1318,0.136633277
glur,97.7124,70.829,8.68797,23,15,0.368604,0.296265,0.664869,1523,0.092942294
glur,101.03,71.3965,8.50947,1,16,0.361782,0.332961,0.694743,161,0.210077301
glur,101.896,70.5102,7.63136,25,17,0.427276,0.252453,0.679729,1725,0.211799719
glur,103.248,62.7918,8.17479,26,18,0.638101,0.356203,0.994304,1826,0.296761771
glur,99.668,68.141,8.16673,22,19,0.420651,0.520031,0.940682,1922,0.209801527
glur,95.5462,66.6143,7.50689,29,20,0.873446,0.504172,1.377618,2029,0.221173249
glur,96.7373,70.4388,6.58303,32,21,0.470325,0.342412,0.812737,2132,0.142801747
glur,101.178,70.6799,6.42989,31,22,0.263964,0.291405,0.555369,2231,0.102835199
glur,98.6688,70.8279,6.81335,27,23,0.560067,0.472364,1.032431,2327,0.264083034
glur,78.7563,68.3532,10.436,35,24,0.571071,0.254811,0.825882,2435,0.142223803
glur,83.2896,71.4262,12.2491,0,25,0.734839,0.298303,1.033142,250,0.225392125
glur,94.9924,67.9925,6.4206,30,26,0.472873,0.585607,1.05848,2630,0.160744902
glur,85.166,69.5955,9.71557,33,27,0.622259,0.827232,1.449491,2733,0.353243478
glur,91.988,70.9535,9.65251,34,28,0.758604,0.735698,1.494302,2834,0.17172857
glur,80.5453,71.7975,9.53527,2,29,0.531576,0.558478,1.090054,292,0.217277168
glur,91.3865,67.3159,8.36741,37,30,0.711333,0.58253,1.293863,3037,0.192320457
glur,92.9137,68.896,8.61871,38,31,0.730188,0.204894,0.935082,3138,0.235540357
glur,88.1116,70.4852,8.29542,36,32,0.487324,0.371429,0.858753,3236,0.123963472
glur,86.8447,69.9189,6.99227,40,33,0.39521,0.439267,0.834477,3340,0.095789981
glur,91.6677,70.7117,6.84974,44,34,0.487301,0.415218,0.902519,3444,0.176802971
glur,81.3718,71.1256,7.18779,41,35,0.574633,0.380481,0.955114,3541,0.129992857
glur,92.8602,69.4149,6.12763,42,36,0.518866,0.485397,1.004263,3642,0.393344413
glur,86.3092,65.7296,6.95187,39,37,0.622104,0.49711,1.119214,3739,0.16501154
glur,85.4105,69.1762,6.70297,43,38,0.278099,0.375251,0.65335,3843,0.33250498
glur,67.4555,69.8619,7.93085,49,39,0.393851,0.335025,0.728876,3949,0.157724641
glur,73.3738,68.6081,8.5865,47,40,0.383212,0.18433,0.567542,4047,0.219217791
glur,63.201,70.5147,7.9004,50,42,0.238389,0.359315,0.597704,4250,0.204099872
glur,76.5711,71.155,7.64294,45,43,0.44319,0.161563,0.604753,4345,0.191537828
